epoch,loss,mse,val_loss,val_mse
0,0.0019057313911616802,0.0019057313911616802,0.000757892441470176,0.000757892441470176
1,0.0006863507442176342,0.0006863507442176342,0.0006237783236429095,0.0006237783236429095
2,0.0005934207001700997,0.0005934207001700997,0.000551545643247664,0.000551545643247664
3,0.0005358380731195211,0.0005358380731195211,0.0005096895038150251,0.0005096895038150251
4,0.0005003710393793881,0.0005003710393793881,0.00048354826867580414,0.00048354826867580414
5,0.0004797196597792208,0.0004797196597792208,0.0004698472039308399,0.0004698472039308399
6,0.00046822341391816735,0.00046822341391816735,0.00046322046546265483,0.00046322046546265483
7,0.00046043007750995457,0.00046043007750995457,0.00045706285163760185,0.00045706285163760185
8,0.0004546154523268342,0.0004546154523268342,0.00045332268928177655,0.00045332268928177655
9,0.0004500431823544204,0.0004500431823544204,0.0004500349750742316,0.0004500349750742316
10,0.0004465840174816549,0.0004465840174816549,0.0004485051613301039,0.0004485051613301039
11,0.000443572731455788,0.000443572731455788,0.00044423603685572743,0.00044423603685572743
12,0.00044086179696023464,0.00044086179696023464,0.00044186340528540313,0.00044186340528540313
13,0.00043875095434486866,0.00043875095434486866,0.0004407902015373111,0.0004407902015373111
14,0.00043685498530976474,0.00043685498530976474,0.00043882307363674045,0.00043882307363674045
15,0.0004350255476310849,0.0004350255476310849,0.0004386181535664946,0.0004386181535664946
16,0.0004336510319262743,0.0004336510319262743,0.00043693115003407,0.00043693115003407
17,0.00043212942546233535,0.00043212942546233535,0.0004385057254694402,0.0004385057254694402
18,0.00043079021270386875,0.00043079021270386875,0.0004355933051556349,0.0004355933051556349
19,0.0004295668622944504,0.0004295668622944504,0.00043590948916971684,0.00043590948916971684
20,0.0004284556780476123,0.0004284556780476123,0.0004344172775745392,0.0004344172775745392
21,0.0004274327075108886,0.0004274327075108886,0.0004330925294198096,0.0004330925294198096
22,0.000426698534283787,0.000426698534283787,0.00043431425001472235,0.00043431425001472235
23,0.00042583674076013267,0.00042583674076013267,0.0004339042934589088,0.0004339042934589088
24,0.0004250472702551633,0.0004250472702551633,0.00043732518679462373,0.00043732518679462373
25,0.0004242952854838222,0.0004242952854838222,0.00043338394607417285,0.00043338394607417285
26,0.00042361646774224937,0.00042361646774224937,0.0004321066371630877,0.0004321066371630877
27,0.0004229390760883689,0.0004229390760883689,0.000431342312367633,0.000431342312367633
28,0.0004224515869282186,0.0004224515869282186,0.0004321499727666378,0.0004321499727666378
29,0.0004218521644361317,0.0004218521644361317,0.00043025187915191054,0.00043025187915191054
30,0.00042127748019993305,0.00042127748019993305,0.00043107953388243914,0.00043107953388243914
31,0.0004206731100566685,0.0004206731100566685,0.00043049370287917554,0.00043049370287917554
32,0.0004201804113108665,0.0004201804113108665,0.0004308088682591915,0.0004308088682591915
33,0.0004197436210233718,0.0004197436210233718,0.0004296454135328531,0.0004296454135328531
34,0.00041929836152121425,0.00041929836152121425,0.00043047548388130963,0.00043047548388130963
35,0.00041880333446897566,0.00041880333446897566,0.00043053633999079466,0.00043053633999079466
36,0.0004184541176073253,0.0004184541176073253,0.00043188611743971705,0.00043188611743971705
37,0.0004179833922535181,0.0004179833922535181,0.00042958007543347776,0.00042958007543347776
38,0.0004176366492174566,0.0004176366492174566,0.0004293396486900747,0.0004293396486900747
39,0.0004172598128207028,0.0004172598128207028,0.0004307926574256271,0.0004307926574256271
40,0.0004168885061517358,0.0004168885061517358,0.00043142098002135754,0.00043142098002135754
41,0.00041648742626421154,0.00041648742626421154,0.000429533829446882,0.000429533829446882
42,0.0004161580582149327,0.0004161580582149327,0.0004282962472643703,0.0004282962472643703
43,0.0004158795636612922,0.0004158795636612922,0.0004285582108423114,0.0004285582108423114
44,0.0004154836933594197,0.0004154836933594197,0.0004295226535759866,0.0004295226535759866
45,0.000415201298892498,0.000415201298892498,0.00042949209455400705,0.00042949209455400705
46,0.00041504326509311795,0.00041504326509311795,0.00042855917126871645,0.00042855917126871645
47,0.0004147453582845628,0.0004147453582845628,0.0004288642085157335,0.0004288642085157335
48,0.0004145278362557292,0.0004145278362557292,0.00042844994459301233,0.00042844994459301233
49,0.0004142077814321965,0.0004142077814321965,0.000429660954978317,0.000429660954978317
